Experiment	bias spectroscopy	
Saved Date	17.12.2019 13:42:46	
User		
Date		
X (m)	-45.8267E-9	
Y (m)	86.4817E-9	
Z (m)	-99.5216E-9	
Z offset (m)	0E+0	
Settling time (s)	500E-6	
Integration time (s)	300E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	17.12.2019 13:41:42	
Filter type	Gaussian	
Order	1	
Cutoff frq		
Bias>Bias (V)	200E-3	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	-800E-6	
Bias Spectroscopy>Sweep Start (V)	200E-3	
Bias Spectroscopy>Sweep End (V)	-200E-3	
Bias Spectroscopy>Num Pixel	401	
Bias Spectroscopy>Z Avg time (s)	50E-6	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	1E-3	
Bias Spectroscopy>Settling time (s)	500E-6	
Bias Spectroscopy>Integration time (s)	300E-6	
Bias Spectroscopy>End Settling time (s)	50E-6	
Bias Spectroscopy>Z control time (s)	0E+0	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	100	
Bias Spectroscopy>Channels	Current (A);Bias (V);OC D1 Phase (deg);OC D1 Amplitude (m);OC M1 Freq. Shift (Hz);OC M1 Excitation (V)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	
Current>Current (A)	-74.742E-12	
Current>Calibration (A/V)	1E-9	
Current>Offset (A)	-1.68135E-12	
Current>Gain	LN 10^9	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	1.13E+3	
Lock-in>Amplitude	4E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	303.564E-3	
Lock-in>HP Filter Cutoff D2 (Hz)	38.8562E+0	
Lock-in>HP Filter Order D1	OFF	
Lock-in>HP Filter Order D2	OFF	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	1	
Lock-in>Reference phase D1 (deg)	-94.7232E+0	
Lock-in>Reference phase D2 (deg)	70.2069E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	19.4281E+0	
Lock-in>LP Filter Cutoff D2 (Hz)	621.699E+0	
Lock-in>LP Filter Order D1	1	
Lock-in>LP Filter Order D2	OFF	
Lock-in>Sync Filter D1	OFF	
Lock-in>Sync Filter D2	OFF	
NanonisMain>Session Path	D:\STM Data\201912\2019-12-17	
NanonisMain>SW Version	Generic 5	
NanonisMain>UI Release	7064	
NanonisMain>RT Release	6975	
NanonisMain>RT Frequency (Hz)	20E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	350E-3	
Oscillation Control>differential input	FALSE	
Oscillation Control>input 1/10	FALSE	
Oscillation Control>Input Calibration (m/V)	190.192E-9	
Oscillation Control>Input Range (m)	1.5E-9	
Oscillation Control>Center Frequency (Hz)	30.4747E+3	
Oscillation Control>Range (Hz)	19.0735E+0	
Oscillation Control>Demod 1 Input	0E+0	
Oscillation Control>Demod 2 Input	0E+0	
Oscillation Control>Demod 3 Input	0E+0	
Oscillation Control>Demod 4 Input	0E+0	
Oscillation Control>Demod 1 Frequency	0E+0	
Oscillation Control>Demod 2 Frequency	0E+0	
Oscillation Control>Demod 3 Frequency	0E+0	
Oscillation Control>Demod 4 Frequency	0E+0	
Oscillation Control>Demod 1 Reference Phase (deg)	-264.04E+0	
Oscillation Control>Demod 2 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 3 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 4 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 1 Cut off frq (Hz)	12.1	
Oscillation Control>Demod 2 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 3 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 4 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 1 Harmonic	1	
Oscillation Control>Demod 2 Harmonic	1	
